"","iso3c","year","p_expenditure"
"1","ARG","2006",2.4
"2","BOL","2006",10.37
"3","BRA","2006",1.14
"4","CHL","2006",2.87
"5","COL","2006",1.42
"6","CRI","2006",0.9
"7","ECU","2006",3.57
"8","SLV","2006",2.67
"9","GTM","2006",5.26
"10","HND","2006",3.34
"11","MEX","2006",2.62
"12","NIC","2006",5.35
"13","PAN","2006",2.39
"14","PRY","2006",3.49
"15","PER","2006",2.06
"16","DOM","2006",3.06
"17","URY","2006",1.41
"18","VEN","2006",6.69
"19","ARG","2007",2.01
"20","BOL","2007",11.75
"21","BRA","2007",1.2
"22","CHL","2007",3.07
"23","COL","2007",1.93
"24","CRI","2007",1.27
"25","ECU","2007",5.15
"26","SLV","2007",2.64
"27","GTM","2007",4.81
"28","HND","2007",4.11
"29","MEX","2007",2.91
"30","NIC","2007",5.19
"31","PAN","2007",3.8
"32","PRY","2007",3.11
"33","PER","2007",2.26
"34","DOM","2007",3.88
"35","URY","2007",1.55
"36","VEN","2007",5.79
"37","ARG","2008",2.02
"38","BOL","2008",10.93
"39","BRA","2008",1.12
"40","CHL","2008",3.61
"41","COL","2008",2.17
"42","CRI","2008",1.71
"43","ECU","2008",9.6
"44","SLV","2008",2.82
"45","GTM","2008",4.47
"46","HND","2008",4.81
"47","MEX","2008",3.47
"48","NIC","2008",4.24
"49","PAN","2008",5.27
"50","PRY","2008",2.45
"51","PER","2008",2.52
"52","DOM","2008",4.87
"53","URY","2008",1.83
"54","VEN","2008",5.73
"55","ARG","2009",2.48
"56","BOL","2009",12
"57","BRA","2009",1.19
"58","CHL","2009",4.44
"59","COL","2009",2.25
"60","CRI","2009",1.74
"61","ECU","2009",8.45
"62","SLV","2009",2.92
"63","GTM","2009",4.07
"64","HND","2009",5.13
"65","MEX","2009",2.59
"66","NIC","2009",3.9
"67","PAN","2009",5.76
"68","PRY","2009",4.03
"69","PER","2009",3.97
"70","DOM","2009",3.46
"71","URY","2009",1.57
"72","VEN","2009",5.4
"73","ARG","2010",2.66
"74","BOL","2010",9.92
"75","BRA","2010",2.48
"76","CHL","2010",3.94
"77","COL","2010",2.08
"78","CRI","2010",2.26
"79","ECU","2010",9.25
"80","SLV","2010",3.19
"81","GTM","2010",4.12
"82","HND","2010",3.74
"83","MEX","2010",2.63
"84","NIC","2010",3.87
"85","PAN","2010",6.84
"86","PRY","2010",3.3
"87","PER","2010",4.54
"88","DOM","2010",3.55
"89","URY","2010",1.67
"90","VEN","2010",2.85
"91","ARG","2011",2.53
"92","BOL","2011",12.09
"93","BRA","2011",1.45
"94","CHL","2011",4.09
"95","COL","2011",2.41
"96","CRI","2011",1.42
"97","ECU","2011",10.14
"98","SLV","2011",3.1
"99","GTM","2011",3.97
"100","HND","2011",4.62
"101","MEX","2011",2.68
"102","NIC","2011",3.5
"103","PAN","2011",7.31
"104","PRY","2011",3.77
"105","PER","2011",4.31
"106","DOM","2011",3.09
"107","URY","2011",1.47
"108","VEN","2011",6.46
"109","ARG","2012",2.25
"110","BOL","2012",10.8
"111","BRA","2012",1.48
"112","CHL","2012",4
"113","COL","2012",2.82
"114","CRI","2012",1.42
"115","ECU","2012",10.51
"116","SLV","2012",3.31
"117","GTM","2012",3.3
"118","HND","2012",4.61
"119","MEX","2012",2.48
"120","NIC","2012",3.74
"121","PAN","2012",7.4
"122","PRY","2012",4.67
"123","PER","2012",4.41
"124","DOM","2012",5.59
"125","URY","2012",1.45
"126","VEN","2012",4.77
"127","ARG","2013",2.85
"128","BOL","2013",13.53
"129","BRA","2013",1.54
"130","CHL","2013",3.66
"131","COL","2013",3.15
"132","CRI","2013",1.61
"133","ECU","2013",12.18
"134","SLV","2013",3
"135","GTM","2013",3
"136","HND","2013",5.23
"137","MEX","2013",3.14
"138","NIC","2013",3.84
"139","PAN","2013",8.51
"140","PRY","2013",3.77
"141","PER","2013",4.72
"142","DOM","2013",3.26
"143","URY","2013",1.41
"144","VEN","2013",5.53
"145","ARG","2014",4.17
"146","BOL","2014",16.61
"147","BRA","2014",1.69
"148","CHL","2014",3.82
"149","COL","2014",3
"150","CRI","2014",1.72
"151","ECU","2014",11.55
"152","SLV","2014",2.77
"153","GTM","2014",2.94
"154","HND","2014",5.19
"155","MEX","2014",2.9
"156","NIC","2014",4.04
"157","PAN","2014",6.83
"158","PRY","2014",3.65
"159","PER","2014",4.84
"160","DOM","2014",2.69
"161","URY","2014",1.39
"162","VEN","2014",6.14
"163","ARG","2015",2.74
"164","BOL","2015",13.75
"165","BRA","2015",1.97
"166","CHL","2015",4.29
"167","COL","2015",3
"168","CRI","2015",1.82
"169","ECU","2015",9.65
"170","SLV","2015",2.62
"171","GTM","2015",2.18
"172","HND","2015",4.74
"173","MEX","2015",3.3
"174","NIC","2015",4.51
"175","PAN","2015",6.25
"176","PRY","2015",4.12
"177","PER","2015",4.87
"178","DOM","2015",2.81
"179","URY","2015",1.23
"180","VEN","2015",NA
