"","year_panel","index_type","pfr"
"1",1996,"blpi_pct",0.0343055555555556
"2",1996,"idea_pct",0.0255017813888889
"3",1996,"os_pct",0.0138888888888889
"4",1996,"pf_pct",0.00944444444444444
"5",1996,"rs_pct",0.0222222222222222
"6",1997,"blpi_pct",0.0481944444444444
"7",1997,"idea_pct",0.0416128925
"8",1997,"os_pct",0.0216666666666667
"9",1997,"pf_pct",0.0277777777777778
"10",1997,"rs_pct",0.0444444444444444
"11",1998,"blpi_pct",0.0481944444444444
"12",1998,"idea_pct",0.0451971218888889
"13",1998,"os_pct",0.0216666666666667
"14",1998,"pf_pct",0.0462962962777778
"15",1998,"rs_pct",0.0444444444444444
"16",1999,"blpi_pct",0.0481944444444444
"17",1999,"idea_pct",0.0451971218888889
"18",1999,"os_pct",0.0216666666666667
"19",1999,"pf_pct",0.0462962962777778
"20",1999,"rs_pct",0.0444444444444444
"21",2000,"blpi_pct",0.0554166666666667
"22",2000,"idea_pct",0.0646415663333333
"23",2000,"os_pct",0.0427777777777778
"24",2000,"pf_pct",0.0740740740555556
"25",2000,"rs_pct",0.0805555555555556
"26",2001,"blpi_pct",0.0519444444444444
"27",2001,"idea_pct",0.0628494552222222
"28",2001,"os_pct",0.0427777777777778
"29",2001,"pf_pct",0.0740740740555556
"30",2001,"rs_pct",0.0805555555555556
"31",2002,"blpi_pct",0.0519444444444444
"32",2002,"idea_pct",0.0664336774444444
"33",2002,"os_pct",0.0507142857222222
"34",2002,"pf_pct",0.0833333333333333
"35",2002,"rs_pct",0.0805555555555556
"36",2003,"blpi_pct",0.0630555555555556
"37",2003,"idea_pct",0.0775447885555555
"38",2003,"os_pct",0.0646031746111111
"39",2003,"pf_pct",0.0927777777777778
"40",2003,"rs_pct",0.0805555555555556
"41",2004,"blpi_pct",0.0630555555555556
"42",2004,"idea_pct",0.0793369032222222
"43",2004,"os_pct",0.0646031746111111
"44",2004,"pf_pct",0.0927777777777778
"45",2004,"rs_pct",0.0916666666666667
"46",2005,"blpi_pct",0.103055555555556
"47",2005,"idea_pct",0.118781347666667
"48",2005,"os_pct",0.120158730166667
"49",2005,"pf_pct",0.111111111111111
"50",2005,"rs_pct",0.105555555555556
"51",2006,"blpi_pct",0.129166666666667
"52",2006,"idea_pct",0.145448014333333
"53",2006,"os_pct",0.1384920635
"54",2006,"pf_pct",0.133333333333333
"55",2006,"rs_pct",0.127777777777778
"56",2007,"blpi_pct",0.151388888888889
"57",2007,"idea_pct",0.169892458777778
"58",2007,"os_pct",0.159603174611111
"59",2007,"pf_pct",0.142777777777778
"60",2007,"rs_pct",0.169444444444444
"61",2008,"blpi_pct",0.193055555555556
"62",2008,"idea_pct",0.208781347666667
"63",2008,"os_pct",0.187380952388889
"64",2008,"pf_pct",0.176111111111111
"65",2008,"rs_pct",0.202777777777778
"66",2009,"blpi_pct",0.413425925944444
"67",2009,"idea_pct",0.436594967722222
"68",2009,"os_pct",0.432658730166667
"69",2009,"pf_pct",0.344259259277778
"70",2009,"rs_pct",0.35
"71",2010,"blpi_pct",0.451898148166667
"72",2010,"idea_pct",0.482293912166667
"73",2010,"os_pct",0.492182539666667
"74",2010,"pf_pct",0.353703703722222
"75",2010,"rs_pct",0.405555555555556
"76",2011,"blpi_pct",0.481342592611111
"77",2011,"idea_pct",0.519516134388889
"78",2011,"os_pct",0.540515873
"79",2011,"pf_pct",0.390925925944444
"80",2011,"rs_pct",0.419444444444444
"81",2012,"blpi_pct",0.481342592611111
"82",2012,"idea_pct",0.519516134388889
"83",2012,"os_pct",0.540515873
"84",2012,"pf_pct",0.390925925944444
"85",2012,"rs_pct",0.419444444444444
"86",2013,"blpi_pct",0.481342592611111
"87",2013,"idea_pct",0.521738356611111
"88",2013,"os_pct",0.540515873
"89",2013,"pf_pct",0.400370370388889
"90",2013,"rs_pct",0.419444444444444
"91",2014,"blpi_pct",0.481342592611111
"92",2014,"idea_pct",0.527849467722222
"93",2014,"os_pct",0.561626984111111
"94",2014,"pf_pct",0.400370370388889
"95",2014,"rs_pct",0.419444444444444
"96",2015,"blpi_pct",0.492453703722222
"97",2015,"idea_pct",0.541738356611111
"98",2015,"os_pct",0.575515873
"99",2015,"pf_pct",0.428148148166667
"100",2015,"rs_pct",0.419444444444444
